0: 1 5 18 6 21, zy
1: 1 5 15 1 6 1 17 6 19, zy
2: 1 5 15 1 6 1 19 6 19, zy
3: 1 5 17 1 6 1 17 6 21, zy
4: 1 5 16 6 21 1 5 18 6 19, zy
5: 1 5 16 5 1 19 5 1 22 1 5 19, zy
6: 1 5 14 4 10 2 4 2 8 4 16 6 19, zy
7: 1 5 14 6 19 1 5 14 6 20 6 14 5 1 19 6 14 5 1 18, zy
8: 1 5 16 6 18 6 16 5 1 19 6 16 5 1 20 1 5 16 6 19, zy
9: 1 5 16 6 21 1 5 18 6 18 5 1 21 6 16 5 1 19 6 19, zy
10: 1 5 18 6 17 1 6 1 17 6 18 5 1 21 6 14 4 14 6 21, zy
11: 1 5 14 5 1 17 5 1 20 1 5 16 5 1 20 1 5 17 1 5 14 5 1 18, zy
12: 1 5 12 4 10 4 15 1 6 1 15 4 10 4 12 5 1 17 6 16 4 8 4 16 6 17, zy
13: 1 5 14 4 10 4 15 1 6 1 15 4 10 4 14 5 1 19 6 16 4 8 4 16 6 19, zy
14: 1 5 14 4 14 5 1 19 6 19 1 5 15 1 6 1 18 1 6 1 15 5 1 19 6 19, zy
15: 1 5 12 4 14 4 10 4 14 4 12 5 1 17 4 8 4 16 5 1 20 1 5 16 4 8 4 17, zy
16: 1 5 12 4 14 6 19 1 5 14 4 10 4 14 5 1 19 6 14 4 12 5 1 17 6 18 6 17, zy
17: 1 5 14 4 14 5 1 19 6 20 6 18 5 1 21 6 18 4 8 4 18 6 21 1 5 18 6 20 6 19, zy
18: 1 5 12 4 14 6 19 1 5 14 5 1 19 6 14 4 12 5 1 17 4 6 2 8 4 14 4 8 2 6 4 17, zy
19: 1 5 16 6 20 6 17 1 6 1 17 6 20 6 16 5 1 19 6 18 4 6 2 8 2 4 2 8 2 6 4 18 6 19, zy
20: 1 5 12 2 2 2 12 4 12 4 12 2 2 2 12 5 1 17 4 8 2 4 2 12 5 1 18 1 5 12 2 4 2 8 4 17, zy
21: 1 5 12 4 10 2 4 2 6 4 17 1 5 14 6 18 6 18 6 14 5 1 17 4 6 2 4 2 10 4 12 5 1 17 6 17, zy
22: 1 5 12 4 12 4 12 5 1 17 6 18 6 14 4 12 5 1 17 6 18 6 16 6 18 6 17 1 5 12 4 14 6 18 6 17, zy
23: 1 5 14 4 12 4 12 4 12 4 14 5 1 19 6 18 6 19 1 5 15 1 6 1 18 1 6 1 15 5 1 19 6 18 6 19, zy
24: 1 5 12 4 12 4 12 4 12 5 1 17 6 18 6 18 6 16 5 1 19 6 16 4 8 2 4 2 8 4 16 6 19 1 5 16 6 18 6 18 6 17, zy
25: 1 5 12 4 14 4 12 5 1 17 5 1 21 6 16 5 1 19 4 6 2 8 4 16 5 1 20 1 5 16 4 8 2 6 4 19 1 5 16 6 21 1 5 17, zy
26: 1 5 14 4 10 2 2 2 10 4 14 6 19 1 5 14 4 10 4 12 4 12 4 12 4 10 4 14 5 1 19 6 14 4 10 2 2 2 10 4 14 5 1 19 6 16 6 19, zy
27: 1 5 16 4 10 4 15 1 6 1 19 6 18 6 21 1 5 18 6 20 6 18 6 20 6 18 5 1 21 6 18 6 19 1 6 1 15 4 10 4 16 5 1 20 1 5 16 5 1 19 6 20 6 18 6 20 6 19 1 5 16 5 1 20, zy
28: 1 5 12 2 2 2 10 4 14 4 8 2 6 2 4 2 10 4 13 1 7 20 6 16 4 8 2 4 2 8 2 4 2 8 2 4 2 8 2 4 2 8 2 4 2 8 4 16 6 20 7 1 13 4 10 2 4 2 6 2 8 4 14 4 10 2 2 2 12 5 1 18, zy
29: 1 5 16 6 20 6 16 6 19 1 6 1 13 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 13 1 6 1 19 6 16 6 20 6 16 5 1 19 6 18 6 18 6 18 6 18 6 18 6 18 6 18 6 17 1 6 1 17 6 18 6 18 6 18 6 18 6 18 6 18 6 18 6 19, zy
30: 1 5 14 4 10 4 14 4 10 4 14 5 1 19 6 16 5 1 20 1 5 16 5 1 20 1 5 16 6 19 1 5 14 5 1 17 4 8 4 16 6 18 6 19 1 5 16 6 18 4 6 2 8 4 14 4 10 4 14 4 10 4 14 4 8 2 6 4 18 6 16 5 1 19 6 18 6 16 4 8 4 17 1 5 14 5 1 19 6 16 5 1 20 1 5 16 5 1 20 1 5 16 6 19, zy
